I, [2017-09-01T07:29:14.655479 #26718]  INFO -- default-linux-200: -----> Creating <default-linux-200>...
E, [2017-09-01T07:29:17.667337 #26718] ERROR -- default-linux-200: Create failed on instance <default-linux-200>.
E, [2017-09-01T07:29:17.667490 #26718] ERROR -- default-linux-200: ------Exception-------
E, [2017-09-01T07:29:17.667512 #26718] ERROR -- default-linux-200: Class: Aws::Errors::MissingCredentialsError
E, [2017-09-01T07:29:17.667524 #26718] ERROR -- default-linux-200: Message: unable to sign request without credentials set
E, [2017-09-01T07:29:17.667534 #26718] ERROR -- default-linux-200: ----------------------
E, [2017-09-01T07:29:17.667544 #26718] ERROR -- default-linux-200: ------Backtrace-------
E, [2017-09-01T07:29:17.667557 #26718] ERROR -- default-linux-200: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/aws-sdk-core-2.10.10/lib/aws-sdk-core/plugins/request_signer.rb:104:in `require_credentials'
E, [2017-09-01T07:29:17.667607 #26718] ERROR -- default-linux-200: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/aws-sdk-core-2.10.10/lib/aws-sdk-core/plugins/request_signer.rb:94:in `sign_authenticated_requests'
E, [2017-09-01T07:29:17.667620 #26718] ERROR -- default-linux-200: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/aws-sdk-core-2.10.10/lib/aws-sdk-core/plugins/request_signer.rb:87:in `call'
E, [2017-09-01T07:29:17.667630 #26718] ERROR -- default-linux-200: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/aws-sdk-core-2.10.10/lib/aws-sdk-core/plugins/helpful_socket_errors.rb:10:in `call'
E, [2017-09-01T07:29:17.667639 #26718] ERROR -- default-linux-200: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/aws-sdk-core-2.10.10/lib/aws-sdk-core/plugins/retry_errors.rb:89:in `call'
E, [2017-09-01T07:29:17.667649 #26718] ERROR -- default-linux-200: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/aws-sdk-core-2.10.10/lib/aws-sdk-core/query/handler.rb:27:in `call'
E, [2017-09-01T07:29:17.667659 #26718] ERROR -- default-linux-200: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/aws-sdk-core-2.10.10/lib/aws-sdk-core/plugins/user_agent.rb:12:in `call'
E, [2017-09-01T07:29:17.667668 #26718] ERROR -- default-linux-200: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/aws-sdk-core-2.10.10/lib/seahorse/client/plugins/endpoint.rb:41:in `call'
E, [2017-09-01T07:29:17.667678 #26718] ERROR -- default-linux-200: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/aws-sdk-core-2.10.10/lib/aws-sdk-core/plugins/param_validator.rb:21:in `call'
E, [2017-09-01T07:29:17.667688 #26718] ERROR -- default-linux-200: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/aws-sdk-core-2.10.10/lib/seahorse/client/plugins/raise_response_errors.rb:14:in `call'
E, [2017-09-01T07:29:17.667701 #26718] ERROR -- default-linux-200: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/aws-sdk-core-2.10.10/lib/aws-sdk-core/plugins/jsonvalue_converter.rb:20:in `call'
E, [2017-09-01T07:29:17.667711 #26718] ERROR -- default-linux-200: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/aws-sdk-core-2.10.10/lib/aws-sdk-core/plugins/idempotency_token.rb:18:in `call'
E, [2017-09-01T07:29:17.667720 #26718] ERROR -- default-linux-200: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/aws-sdk-core-2.10.10/lib/aws-sdk-core/plugins/param_converter.rb:20:in `call'
E, [2017-09-01T07:29:17.667730 #26718] ERROR -- default-linux-200: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/aws-sdk-core-2.10.10/lib/aws-sdk-core/plugins/response_paging.rb:26:in `call'
